"COM","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"01092","0","CHATILLON LA PALUD","Châtillon-la-Palud","Châtillon-la-Palud","1943-01-01",""
"01093","0","CHATILLON SUR CHALARONNE","Châtillon-sur-Chalaronne","Châtillon-sur-Chalaronne","1943-01-01",""
"01094","0","CHAVANNES SUR REYSSOUZE","Chavannes-sur-Reyssouze","Chavannes-sur-Reyssouze","1943-01-01",""
"01095","0","CHAVANNES SUR SURAN","Chavannes-sur-Suran","Chavannes-sur-Suran","1943-01-01","2017-01-01"
"01095","0","NIVIGNE ET SURAN","Nivigne et Suran","Nivigne et Suran","2017-01-01",""
"01096","0","CHAVEYRIAT","Chaveyriat","Chaveyriat","1943-01-01",""
"01097","0","CHAVORNAY","Chavornay","Chavornay","1943-01-01","2019-01-01"
"01098","0","CHAZEY BONS","Chazey-Bons","Chazey-Bons","1943-01-01",""
"01099","0","CHAZEY SUR AIN","Chazey-sur-Ain","Chazey-sur-Ain","1943-01-01",""
"01100","0","CHEIGNIEU LA BALME","Cheignieu-la-Balme","Cheignieu-la-Balme","1943-01-01",""
"01101","0","CHEVILLARD","Chevillard","Chevillard","1943-01-01",""
"01102","0","CHEVROUX","Chevroux","Chevroux","1943-01-01",""
"01103","0","CHEVRY","Chevry","Chevry","1943-01-01",""
"01104","0","CHEZERY","Chézery","Chézery","1943-01-01","1962-08-27"
"01104","0","CHEZERY FORENS","Chézery-Forens","Chézery-Forens","1962-08-27",""
"01105","0","CIVRIEUX","Civrieux","Civrieux","1943-01-01",""
"01106","0","CIZE","Cize","Cize","1943-01-01",""
"01107","0","CLEYZIEU","Cleyzieu","Cleyzieu","1943-01-01",""
"01108","0","COLIGNY","Coligny","Coligny","1943-01-01",""
"01109","0","COLLONGES","Collonges","Collonges","1943-01-01",""
"01110","0","COLOMIEU","Colomieu","Colomieu","1943-01-01",""
"01111","0","CONAND","Conand","Conand","1943-01-01",""
"01112","0","CONDAMINE","Condamine","Condamine","1943-01-01",""
"01113","0","CONDEISSIAT","Condeissiat","Condeissiat","1943-01-01",""
"01114","0","CONFORT","Confort","Confort","1943-01-01",""
"01115","0","CONFRANCON","Confrançon","Confrançon","1943-01-01",""
"01116","0","CONTREVOZ","Contrevoz","Contrevoz","1943-01-01",""
"01117","0","CONZIEU","Conzieu","Conzieu","1943-01-01",""
"01118","0","CORBONOD","Corbonod","Corbonod","1943-01-01",""
"01119","0","CORCELLES","Corcelles","Corcelles","1943-01-01","2016-01-01"
"01120","0","CORDIEUX","Cordieux","Cordieux","1943-01-01","1973-01-01"
"01121","0","CORLIER","Corlier","Corlier","1943-01-01",""
"01122","0","CORMARANCHE EN BUGEY","Cormaranche-en-Bugey","Cormaranche-en-Bugey","1943-01-01","2019-01-01"
"01123","0","CORMORANCHE SUR SAONE","Cormoranche-sur-Saône","Cormoranche-sur-Saône","1943-01-01",""
"01124","0","CORMOZ","Cormoz","Cormoz","1943-01-01",""
"01125","0","CORVEISSIAT","Corveissiat","Corveissiat","1943-01-01",""
"01126","0","COUPY","Coupy","Coupy","1943-01-01","1966-03-23"
"01127","0","COURMANGOUX","Courmangoux","Courmangoux","1943-01-01",""
"01128","0","COURTES","Courtes","Courtes","1943-01-01",""
"01129","0","CRANS","Crans","Crans","1943-01-01",""
"01130","0","CRAS SUR REYSSOUZE","Cras-sur-Reyssouze","Cras-sur-Reyssouze","1943-01-01","2019-01-01"
"01130","0","BRESSE VALLONS","Bresse Vallons","Bresse Vallons","2019-01-01",""
"01131","0","CRAZ","Craz","Craz","1943-01-01","1973-01-01"
"01132","0","CREPIEUX LA PAPE","Crépieux-la-Pape","Crépieux-la-Pape","1943-01-01","1967-12-31"
"01133","0","CRESSIN ROCHEFORT","Cressin-Rochefort","Cressin-Rochefort","1943-01-01",""
"01134","0","CROTTET","Crottet","Crottet","1943-01-01",""
"01135","0","CROZET","Crozet","Crozet","1943-01-01",""
"01136","0","CRUZILLES LES MEPILLAT","Cruzilles-lès-Mépillat","Cruzilles-lès-Mépillat","1943-01-01",""
"01137","0","CUISIAT","Cuisiat","Cuisiat","1943-01-01","1972-12-01"
"01138","0","CULOZ","Culoz","Culoz","1943-01-01","2023-01-01"
"01138","0","CULOZ BEON","Culoz-Béon","Culoz-Béon","2023-01-01",""
"01139","0","CURCIAT DONGALON","Curciat-Dongalon","Curciat-Dongalon","1943-01-01",""
